# Source: Deutscher Wetterdienst (DWD), Climate Data Center, hourly cloud cover (V_N, eighths), station 00433 Berlin-Tempelhof, CC BY 4.0
# Slice: 2026-08-28T00 .. T23 UTC, from stundenwerte_N_00433_akt.zip as served 2026-08-30 (file dated 2026-08-29 08:17); MESS_DATUM in UTC; V_N -1 = missing
# Values byte-exact per field; the archive's fixed-width formatting normalized and the ';eor' trailer dropped (the prospect's disclosed slice form)
STATIONS_ID;MESS_DATUM;QN_8;V_N_I;V_N
433;2026082800;1;P;8
433;2026082801;1;P;8
433;2026082802;1;P;8
433;2026082803;1;P;8
433;2026082804;1;P;8
433;2026082805;1;P;8
433;2026082806;1;P;8
433;2026082807;1;P;7
433;2026082808;1;P;7
433;2026082809;1;P;6
433;2026082810;1;P;7
433;2026082811;1;P;8
433;2026082812;1;P;8
433;2026082813;1;P;8
433;2026082814;1;P;8
433;2026082815;1;P;8
433;2026082816;1;P;8
433;2026082817;1;P;8
433;2026082818;1;P;8
433;2026082819;1;P;8
433;2026082820;1;P;8
433;2026082821;1;P;8
433;2026082822;1;P;8
433;2026082823;1;P;8
